Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Type Species?,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL
1,,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Beihai yingvirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186030
2,,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Charybdis yingvirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186031
3,,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Hubei yingvirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186032
4,,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Sanxia yingvirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186033
5,,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Shahe yingvirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186034
6,,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Wenzhou yingvirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186035
7,,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Wuhan yingvirus,1,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186036
8,,,,,Negarnaviricota,Haploviricotina,Chunqiuviricetes,,Muvirales,,Qinviridae,,Yingvirus,,Xinzhou yingvirus,0,ssRNA(-),"New,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20186037
9,,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Blueberry mosaic associated ophiovirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183946
10,,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Citrus psorosis ophiovirus,1,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183947
11,,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Freesia sneak ophiovirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183948
12,,,,,Negarnaviricota,Haploviricotina,Milneviricetes,,Serpentovirales,,Aspiviridae,,Ophiovirus,,Lettuce ring necrosis ophiovirus,0,ssRNA(-),"Moved,",33,2017.006M.A.v2.Negarnaviricota.zip,ICTVonline=20183949
