Host species,Common Name,Virus family,Virus genus,Virus name,Baltimore classification,Category,NucAcid,Spherical,Filamentous,Pleomorphic,Bullet-form,Lipid Envelope,Fecal.Oral,Fecal.Oral.Reference,Arbovirus,Arbovirus.Reference,Inhalation.Aerosols,Inhalation.Aerosols.Reference,Inhalation.Dust,Inhalation.Dust.Reference,Sexual,Sexual.Reference,Eating,Eating.Reference,Oral.Bloodstream,Oral.Bloodstream.Reference,Breastfeeding,Breastfeeding.Reference,Congenital/vertical,Congenital/vertical.Reference,Germ.line,Germ.line.Reference,Blood.Products,Blood.Products.Reference,Contact.Skin.or.Eye,Contact.Skin.or.Eye.Reference
Felis catus,Cat,Poxviridae,Orthopoxvirus,Cowpox,I,,DNA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,PMID:23813814,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,"PMID: 17359444, PMID: 12963921"
Felis catus,Cat,Astroviridae,Mamastrovirus,Feline astrovirus,IV,,RNA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PMID:24793097,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg
Felis catus,Cat,Caliciviridae,Vesivirus,Feline calicivirus,IV,,RNA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PMID: 15123152,FALSE,PubMedNeg,TRUE,"PMID: 15123152, 17296159",FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,PMID: 17296159,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PMID: 17296159,FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,PMID: 17296159
Felis catus,Cat,Coronaviridae,Alphacoronavirus,Feline enteric coronavirus,IV,,RNA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"PMID: 18538604, PMID: 15123152",FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg
Felis catus,Cat,Retroviridae,Felispumavirus,Feline foamy virus,VI,,RNA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,PMID: 29197389,TRUE,PMID: 29197389,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,PMID: 29197389
Felis catus,Cat,Herpesviridae,Varicellovirus,Feline Herpes virus 1,I,,DNA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,PMID:25010275,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg
Felis catus,Cat,Retroviridae,Lentivirus,Feline immunodeficiency virus,VI,,RNA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,PMID: 10213322,FALSE,PubMedNeg,TRUE,PMID: 10213322,TRUE,PMID: 10213322,TRUE,PMID: 10213322,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg
Felis catus,Cat,Coronaviridae,Alphacoronavirus,Feline infectious peritonitis virus,IV,,RNA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,PMID:18538604,FALSE,PubMedNeg,TRUE,PMID: 25265870,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg
Felis catus,Cat,Retroviridae,Gammaretrovirus,Feline leukemia virus,VI,,RNA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,PubMedNeg,TRUE,PMID: 14557874,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,PMID: 19481036,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PMID: 26689419,TRUE,PMID: 19481036
Felis catus,Cat,Parvoviridae,Protoparvovirus,Feline panleukopenia virus,II,,DNA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,PMID: 19481033,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,PMID: 19481033,FALSE,PubMedNeg,FALSE,PubMedNeg,TRUE,PMID: 19481033
