Host species,Common Name,Virus family,Virus genus,Virus name,Baltimore classification,Category,NucAcid,Spherical,Filamentous,Pleomorphic,Bullet-form,Lipid Envelope,Fecal.Oral,Fecal.Oral.Reference,Arbovirus,Arbovirus.Reference,Inhalation.Aerosols,Inhalation.Aerosols.Reference,Inhalation.Dust,Inhalation.Dust.Reference,Sexual,Sexual.Reference,Eating,Eating.Reference,Oral.Bloodstream,Oral.Bloodstream.Reference,Breastfeeding,Breastfeeding.Reference,Congenital/vertical,Congenital/vertical.Reference,Germ.line,Germ.line.Reference,Blood.Products,Blood.Products.Reference,Contact.Skin.or.Eye,Contact.Skin.or.Eye.Reference
Felis catus,Cat,Astroviridae,Mamastrovirus,Feline astrovirus,IV,,RNA,1,0,0,0,0,1,PMID:24793097,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Felis catus,Cat,Caliciviridae,Vesivirus,Feline calicivirus,IV,,RNA,1,0,0,0,0,1,PMID: 15123152,0,PubMedNeg,1,"PMID: 15123152, 17296159",0,PubMedNeg,0,PubMedNeg,1,PMID: 17296159,0,PubMedNeg,0,PubMedNeg,0,PMID: 17296159,0,PubMedNeg,0,PubMedNeg,1,PMID: 17296159
Felis catus,Cat,Coronaviridae,Alphacoronavirus,Feline enteric coronavirus,IV,,RNA,1,0,0,0,1,1,"PMID: 18538604, PMID: 15123152",0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Felis catus,Cat,Coronaviridae,Alphacoronavirus,Feline infectious peritonitis virus,IV,,RNA,1,0,0,0,1,1,PMID:18538604,0,PubMedNeg,1,PMID: 25265870,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Felis catus,Cat,Herpesviridae,Varicellovirus,Feline Herpes virus 1,I,,DNA,1,0,0,0,1,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID:25010275,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Felis catus,Cat,Herpesviridae,Varicellovirus,Pseudorabies virus/Suid Herpesvirus 1,I,,DNA,1,0,0,0,1,0,PubMedNeg,0,PubMedNeg,1,PMID: 2186503,0,PubMedNeg,0,PubMedNeg,1,PMID: 2186503,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 2186503
Felis catus,Cat,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,V,,RNA,0,0,0,1,1,0,PubMedNeg,0,PubMedNeg,1,PMID: 29260686,0,PubMedNeg,0,PubMedNeg,1,PMID: 19481042,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg
Felis catus,Cat,Papillomaviridae,Lambdapapillomavirus,Feline papillomavirus,I,,DNA,1,0,0,0,0,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID:23813815,1,PMID: 25541379
Felis catus,Cat,Parvoviridae,Protoparvovirus,Feline panleukopenia virus,II,,DNA,1,0,0,0,0,1,PMID: 19481033,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID: 19481033,0,PubMedNeg,0,PubMedNeg,1,PMID: 19481033
Felis catus,Cat,Poxviridae,Orthopoxvirus,Cowpox,I,,DNA,0,0,0,1,1,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,PMID:23813814,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,0,PubMedNeg,1,"PMID: 17359444, PMID: 12963921"
